original_language,popularity,title,vote_average,tconst,primary_title,start_year,runtime_minutes,genres,movie,production_budget,worldwide_gross
en,2.498,Fake,5.0,tt3078950,Fake,2013,66.0,"Comedy,Drama,Mystery",Anna and the King,75000000,39251128.0
en,2.498,Fake,5.0,tt5534910,Fake,2016,109.0,Documentary,Sucker Punch,75000000,89758389.0
en,2.47,Get Lamp,6.4,tt1756529,Get Lamp,2010,78.0,Documentary,Hollywood Homicide,75000000,50409753.0
en,2.465,Slow Torture Puke Chamber,2.6,tt1937329,Slow Torture Puke Chamber,2010,77.0,Horror,Titan A.E.,75000000,36751979.0
en,2.451,A Little Help,5.3,tt1319722,A Little Help,2010,109.0,"Comedy,Drama,Romance",Soldier,75000000,14623082.0
en,2.451,Weakness,4.5,tt1286753,Weakness,2010,98.0,"Comedy,Drama",Virus,75000000,30626690.0
en,2.45,Norman,5.9,tt1247683,Norman,2010,99.0,"Comedy,Drama",Monkeybone,75000000,5409517.0
en,2.386,The Last Rites of Ransom Pride,3.5,tt1268970,The Last Rites of Ransom Pride,2010,83.0,"Drama,Thriller,Western",Talladega Nights: The Ballad of Ricky Bobby,73000000,162870525.0
en,2.381,Camp Hell,3.5,tt1047449,Camp Hell,2010,99.0,"Drama,Horror",Snake Eyes,73000000,103891409.0
en,2.379,Ice Castles,6.3,tt1411276,Ice Castles,2010,95.0,"Drama,Romance,Sport",Sphere,73000000,50168294.0
de,2.377,The Truth,5.5,tt1762365,The Truth,2010,85.0,"Comedy,Drama,Musical",Fool's Gold,72500000,109362966.0
de,2.377,The Truth,5.5,tt3371582,The Truth,2014,99.0,"Action,Drama,Sci-Fi",The Kingdom,72500000,86509602.0
en,2.377,Detention,3.5,tt0990363,Detention,2010,81.0,"Horror,Thriller",Driven,72000000,54616869.0
en,2.377,Detention,3.5,tt1701990,Detention,2011,93.0,"Comedy,Horror,Mystery",The Majestic,72000000,37306334.0
hi,2.35,Aisha,4.9,tt5135554,Aisha,2015,112.0,Drama,Daddyâs Home 2,70000000,175807183.0
en,2.302,The Confession,6.7,tt5124774,The Confession,2016,96.0,Documentary,Olympus Has Fallen,70000000,172878928.0
en,2.302,The Confession,6.7,tt6161300,The Confession,2017,89.0,"Drama,Mystery",AVP: Alien Vs. Predator,70000000,172543519.0
en,1.791,The Confession,6.8,tt5124774,The Confession,2016,96.0,Documentary,The Monuments Men,70000000,158702748.0
en,1.791,The Confession,6.8,tt5818984,The Confession,2016,85.0,Horror,Storks,70000000,183353431.0
en,1.791,The Confession,6.8,tt6161300,The Confession,2017,89.0,"Drama,Mystery",Star Trek: Insurrection,70000000,117800000.0
en,1.061,The Confession,6.0,tt5124774,The Confession,2016,96.0,Documentary,Underworld: Awakening,70000000,160379930.0
en,1.061,The Confession,6.0,tt5818984,The Confession,2016,85.0,Horror,The Lego Ninjago Movie,70000000,122737201.0
en,2.293,Anton Chekhov's The Duel,7.4,tt1282041,Anton Chekhov's The Duel,2010,95.0,Drama,The Abyss,70000000,54243125.0
en,2.292,"Glenn, the Flying Robot",4.2,tt0934446,"Glenn, the Flying Robot",2010,85.0,"Drama,Sci-Fi",Wall Street 2: Money Never Sleeps,70000000,137431619.0
en,2.2880000000000003,Full Love,10.0,tt3781812,Full Love,2014,108.0,"Action,Drama",The Dilemma,70000000,70546865.0
en,2.278,Removal,5.1,tt1493828,Removal,2010,91.0,Thriller,Rumor Has It,70000000,88933562.0
fr,2.258,Two in the Wave,5.6,tt1528224,Two in the Wave,2010,91.0,Documentary,The Siege,70000000,116625798.0
en,2.251,Night Catches Us,4.4,tt0775543,Night Catches Us,2010,90.0,"Drama,Romance",Stardust,70000000,137022245.0
fr,2.248,October,6.5,tt10056334,Octubre,2018,80.0,Documentary,Rock of Ages,70000000,61031932.0
fr,2.248,October,6.5,tt1646118,October,2010,83.0,Drama,Seven Years in Tibet,70000000,131445884.0
en,2.235,Brotherhood,6.2,tt1273241,Brotherhood,2010,76.0,"Crime,Drama,Thriller",Sky Captain and the World of Tomorrow,70000000,49730854.0
en,2.235,Brotherhood,6.2,tt3315066,Brotherhood,2014,64.0,"Action,Drama,Family",The Brave One,70000000,69792704.0
en,2.235,Brotherhood,6.2,tt5193784,Brotherhood,2016,104.0,"Crime,Drama,Thriller",I Spy,70000000,60279822.0
en,4.191,Brotherhood,6.1,tt1273241,Brotherhood,2010,76.0,"Crime,Drama,Thriller",Doom,70000000,58757178.0
en,4.191,Brotherhood,6.1,tt3315066,Brotherhood,2014,64.0,"Action,Drama,Family",The Finest Hours,70000000,49252761.0
en,4.191,Brotherhood,6.1,tt5193784,Brotherhood,2016,104.0,"Crime,Drama,Thriller",Escape Plan,70000000,103735965.0
es,2.234,The Valdemar Legacy,5.0,tt1242744,The Valdemar Legacy,2010,104.0,"Horror,Mystery",Hard Rain,70000000,19870567.0
en,2.225,Breaking Point,5.6,tt4263772,Breaking Point,2015,57.0,"Documentary,History",The Legend of Hercules,70000000,58953319.0
en,2.225,Breaking Point,5.6,tt5678732,Breaking Point,2017,82.0,"Drama,Thriller",Next,70000000,73591500.0
en,2.225,Breaking Point,5.6,tt6222936,Breaking Point,2016,107.0,Documentary,Ballistic: Ecks vs. Sever,70000000,14294842.0
en,0.672,Breaking Point,9.5,tt4263772,Breaking Point,2015,57.0,"Documentary,History",Blackhat,70000000,19665004.0
en,0.672,Breaking Point,9.5,tt5678732,Breaking Point,2017,82.0,"Drama,Thriller",Basic Instinct 2,70000000,35417162.0
en,0.672,Breaking Point,9.5,tt6222936,Breaking Point,2016,107.0,Documentary,Agora,70000000,38992292.0
en,2.215,Brilliantlove,4.7,tt1468313,The Orgasm Diaries,2010,97.0,"Drama,Romance",Dinner for Schmucks,69000000,86796502.0
